elapsed_s,milestone,iters_compute,iters_wgpu,iters_render,rss_kb,dmesg_amdgpu_delta,status
1,1s,607,28,464,13444,0,PASS
2,2s,631,29,481,13444,0,PASS
4,4s,1809,84,1378,13444,0,PASS
8,8s,4091,193,3133,13444,0,PASS
16,16s,8648,409,6639,13444,0,PASS
32,32s,17728,844,13644,13444,0,PASS
60,1m,33899,1614,26177,13444,0,PASS
120,2m,68580,3265,53215,13444,0,PASS
240,4m,,6433,105036,13444,0,PASS
480,8m,271118,12890,210960,13444,0,PASS
960,16m,544116,25875,423546,13444,0,PASS
1920,32m,1085882,51665,845111,13444,0,PASS
3600,1h,2032380,96745,1582044,13444,0,PASS
4500,1h,2543383,120934,1979503,13444,0,PASS
5400,1h,3060872,145279,2380978,13444,0,PASS
6300,1h,3573457,169499,2779642,13444,0,PASS
7200,2h,4081829,193543,3175524,13444,0,PASS
8100,2h,,217769,3575808,13444,0,PASS
9000,2h,5111609,242057,3976248,13444,0,PASS
9900,2h,5623097,266180,4373826,13444,0,PASS
10800,3h,6141186,290605,4776353,13444,0,PASS
11700,3h,6659327,314944,5178272,13444,0,PASS
12600,3h,7176304,339275,5579389,13444,0,PASS
13500,3h,7694016,363677,5981280,13444,0,PASS
14400,4h,8214568,388172,6385352,13444,0,PASS
15300,4h,8732224,412554,6786937,13444,0,PASS
16200,4h,9250528,436933,7189094,13444,0,PASS
17100,4h,9770103,461368,7592140,13444,0,PASS
18000,5h,10288270,485798,7994351,13444,0,PASS
18900,5h,10801956,510021,8393589,13444,0,PASS
19800,5h,11315001,534260,8792596,13444,0,PASS
20700,5h,11829458,558612,9192645,13444,0,PASS
21600,6h,12338988,582737,9588888,13444,0,PASS
