elapsed_s,milestone,iters_nvidia-compute,iters_nvidia-render,iters_nvidia-texture,rss_kb,dmesg_drm_delta,status
1,1s,26,26,25,13436,0,PASS
2,2s,65,65,62,13436,0,PASS
4,4s,141,142,134,13436,0,PASS
8,8s,291,287,269,13436,0,PASS
16,16s,579,574,536,13436,0,PASS
32,32s,1148,1139,1055,13436,0,PASS
60,1m,2112,2112,1940,13436,0,PASS
120,2m,4201,4205,3865,13436,0,PASS
240,4m,8289,8316,7641,13436,0,PASS
480,8m,16541,16628,15275,13436,0,PASS
960,16m,33007,33166,30518,13436,0,PASS
1920,32m,65916,66231,60977,13436,0,PASS
3600,1h,124295,124844,114879,13436,0,PASS
4500,1h,155446,156128,143605,13436,0,PASS
5401,1h,186357,187214,172208,13436,0,PASS
6300,1h,217406,218416,200918,13436,0,PASS
7200,2h,248834,249969,229944,13436,0,PASS
8100,2h,280175,281481,258879,13436,0,PASS
9000,2h,311469,312904,287821,13436,0,PASS
9900,2h,342826,344403,316797,13436,0,PASS
10800,3h,373806,375527,345453,13436,0,PASS
11700,3h,404714,406565,374076,13436,0,PASS
12600,3h,435626,437630,402675,13436,0,PASS
13500,3h,466701,468855,431385,13436,0,PASS
14400,4h,497990,500306,460278,13436,0,PASS
15300,4h,529028,531455,488984,13436,0,PASS
16200,4h,560395,562961,517960,13436,0,PASS
17100,4h,591712,594411,546902,13436,0,PASS
18000,5h,623024,625851,575864,13436,0,PASS
18900,5h,653997,656973,604547,13436,0,PASS
19800,5h,684871,688012,633104,13436,0,PASS
20700,5h,715775,719085,661728,13436,0,PASS
21600,6h,746681,750176,690318,13436,0,PASS
