elapsed_s,milestone,iters_nvidia-compute,iters_nvidia-render,iters_nvidia-texture,rss_kb,dmesg_drm_delta,status
1,1s,28,28,26,13528,0,PASS
2,2s,69,69,64,13528,0,PASS
4,4s,109,108,101,13528,0,PASS
8,8s,263,266,247,13528,0,PASS
16,16s,553,557,514,13528,0,PASS
32,32s,1119,1118,1025,13528,0,PASS
60,1m,2100,2105,1932,13528,0,PASS
120,2m,,4189,3859,13528,0,PASS
240,4m,8277,8292,7649,13528,0,PASS
480,8m,16637,16679,15364,13528,0,PASS
960,16m,33337,33461,30803,13528,0,PASS
1921,32m,66908,67162,61768,13528,0,PASS
3600,1h,125317,125814,115761,13528,0,PASS
4500,1h,156478,157097,144553,13528,0,PASS
5401,1h,187592,188338,173307,13528,0,PASS
6300,1h,218579,219421,201953,13528,0,PASS
7200,2h,249572,250555,230642,13528,0,PASS
8100,2h,281042,282133,259752,13528,0,PASS
9000,2h,312513,313679,288786,13528,0,PASS
9900,2h,343928,345165,317794,13528,0,PASS
10800,3h,375464,376851,346961,13528,0,PASS
11700,3h,406816,408338,375941,13528,0,PASS
12600,3h,438402,440064,405108,13528,0,PASS
13500,3h,469880,471581,434182,13528,0,PASS
14400,4h,501318,503101,463228,13528,0,PASS
15300,4h,532724,534567,492232,13528,0,PASS
16201,4h,563873,565850,521045,13528,0,PASS
17100,4h,594965,597011,549842,13528,0,PASS
18000,5h,626300,628421,578739,13528,0,PASS
18900,5h,657564,659804,607590,13528,0,PASS
19800,5h,688978,691347,636600,13528,0,PASS
20700,5h,720097,722614,665363,13528,0,PASS
21600,6h,751208,753847,694122,13528,0,PASS
22500,6h,782612,785336,723137,13528,0,PASS
23400,6h,814031,816852,752173,13528,0,PASS
24300,6h,845049,848007,780921,13528,0,PASS
25200,7h,876163,879239,809645,13528,0,PASS
26100,7h,907441,910589,838535,13528,0,PASS
27000,7h,938560,941779,867316,13528,0,PASS
27901,7h,969701,973110,896150,13528,0,PASS
28800,8h,1000997,1004522,925095,13528,0,PASS
29700,8h,1032039,1035697,953822,13528,0,PASS
30600,8h,1063465,1067210,982850,13528,0,PASS
31500,8h,1094878,1098721,1011834,13528,0,PASS
32400,9h,1126366,1130291,1040874,13528,0,PASS
33300,9h,1157732,1161780,1069852,13528,0,PASS
34200,9h,1189126,1193255,1098854,13528,0,PASS
35100,9h,1220600,1224817,1127868,13528,0,PASS
36000,10h,1252017,1256330,1156888,13528,0,PASS
36900,10h,1283489,1287915,1185920,13528,0,PASS
37800,10h,1314924,1319447,1214958,13528,0,PASS
38700,10h,1346481,1351130,1244060,13528,0,PASS
39600,11h,1377826,1382589,1273023,13528,0,PASS
40500,11h,1408823,1413760,1301705,13528,0,PASS
41400,11h,1440084,1445155,1330579,13528,0,PASS
42300,11h,1471069,1476208,1359259,13528,0,PASS
43200,12h,1502082,1507350,1387939,13528,0,PASS
44100,12h,1533125,1538504,1416620,13528,0,PASS
45000,12h,1564200,1569656,1445360,13528,0,PASS
45900,12h,1595458,,1474250,13528,0,PASS
46800,13h,1626559,1632243,1502971,13528,0,PASS
47700,13h,1657613,1663373,1531702,13528,0,PASS
48600,13h,1688635,1694524,1560412,13528,0,PASS
49500,13h,1719625,1725617,1589079,13528,0,PASS
50400,14h,1750717,1756781,1617826,13528,0,PASS
51300,14h,1781672,1787877,1646455,13528,0,PASS
52200,14h,1812681,1818997,1675095,13528,0,PASS
53100,14h,1844153,1850598,1704099,13528,0,PASS
54000,15h,1875124,1881695,1732778,13528,0,PASS
54900,15h,1906276,1912996,1761595,13528,0,PASS
55800,15h,1937391,1944190,1790367,13528,0,PASS
56700,15h,1968340,1975267,1818938,13528,0,PASS
57600,16h,1999343,2006438,1847609,13528,0,PASS
58500,16h,2030294,2037527,1876230,13528,0,PASS
59400,16h,2061314,2068589,1904854,13528,0,PASS
60300,16h,2092373,2099723,1933562,13528,0,PASS
61200,17h,2123809,2131232,1962517,13528,0,PASS
62100,17h,2155200,2162759,1991593,13528,0,PASS
63000,17h,2186623,2194368,2020660,13528,0,PASS
63900,17h,2217846,2225688,2049498,13528,0,PASS
64800,18h,2249386,2257342,2078560,13528,0,PASS
65700,18h,2280933,2288982,2107648,13528,0,PASS
66600,18h,2312444,2320619,2136771,13528,0,PASS
67500,18h,2343930,2352269,2165857,13528,0,PASS
68400,19h,2375334,2383773,2194867,13528,0,PASS
69300,19h,2406982,2415534,2224021,13528,0,PASS
70200,19h,2438170,2446806,2252867,13528,0,PASS
71100,19h,2469194,2477959,2281540,13528,0,PASS
72000,20h,2500359,2509220,2310369,13528,0,PASS
72900,20h,2531832,2540819,2339469,13528,0,PASS
73800,20h,2563290,2572411,2368542,13528,0,PASS
74700,20h,2594520,2603787,2397385,13528,0,PASS
75600,21h,2625661,2635012,2426130,13528,0,PASS
76500,21h,2656767,2666185,2454904,13528,0,PASS
77400,21h,2687811,2697337,2483591,13528,0,PASS
78300,21h,2719255,2728885,2512626,13528,0,PASS
79200,22h,2750794,2760545,2541739,13528,0,PASS
80100,22h,2782207,2792039,2570743,13528,0,PASS
81000,22h,2813426,2823367,2599624,13528,0,PASS
81900,22h,2844585,2854658,2628373,13528,0,PASS
82800,23h,2875639,2885808,2657086,13528,0,PASS
83700,23h,2906786,2917035,2685858,13528,0,PASS
84600,23h,2938248,2948579,2714910,13528,0,PASS
85500,23h,2969810,2980259,2744042,13528,0,PASS
