elapsed_s,milestone,iters_compute,iters_wgpu,iters_render,rss_kb,dmesg_amdgpu_delta,status
1,1s,604,28,463,13092,0,PASS
2,2s,1219,57,933,13092,0,PASS
4,4s,2410,113,1844,13092,0,PASS
8,8s,4751,223,3648,13092,0,PASS
16,16s,9457,440,7255,13092,0,PASS
32,32s,18808,877,14427,13092,0,PASS
60,1m,35106,1640,26933,13092,0,PASS
120,2m,70212,3267,53821,13092,0,PASS
240,4m,141203,6554,108477,13092,0,PASS
480,8m,282522,13117,217329,13092,0,PASS
960,16m,556760,25714,428299,13092,0,PASS
1920,32m,1102639,50831,848922,13092,0,PASS
3600,1h,2073612,94906,1596166,13092,0,PASS
4500,1h,2588634,118527,1992779,13092,0,PASS
5400,1h,3106370,142213,2391751,13092,0,PASS
6300,1h,3628967,165852,2794982,13092,0,PASS
7200,2h,4140042,189374,3188966,13092,0,PASS
8100,2h,4652859,212879,3584123,13092,0,PASS
9000,2h,5165026,236393,3978928,13092,0,PASS
9900,2h,5681270,260006,4376088,13092,0,PASS
10800,3h,6189319,283393,4767131,13092,0,PASS
11700,3h,6700402,306816,5160602,13092,0,PASS
12600,3h,7216488,330420,5557403,13092,0,PASS
13500,3h,7732231,354040,5953717,13092,0,PASS
14400,4h,8247033,377622,6349583,13092,0,PASS
15300,4h,8765418,401465,6748808,13092,0,PASS
16200,4h,9279955,425086,7145583,13092,0,PASS
17100,4h,9796186,448820,7543350,13092,0,PASS
18000,5h,10317198,472748,7944296,13092,0,PASS
18900,5h,10838611,496755,8346157,13092,0,PASS
19800,5h,11360867,520815,8748397,13092,0,PASS
20700,5h,11881415,544831,9149610,13092,0,PASS
21600,6h,12402385,568787,9550918,13092,0,PASS
22500,6h,12921844,592680,9951165,13092,0,PASS
23400,6h,13435101,616215,10346525,13092,0,PASS
24300,6h,13950037,639829,10743480,13092,0,PASS
25200,7h,14466767,663495,11141516,13092,0,PASS
26100,7h,14983612,687170,11539993,13092,0,PASS
27000,7h,15499439,710882,11937867,13092,0,PASS
27900,7h,16015631,734574,12335825,13092,0,PASS
28800,8h,16521200,757863,12726505,13092,0,PASS
29700,8h,17028290,781174,13118085,13092,0,PASS
30600,8h,17537772,804542,13510441,13092,0,PASS
31500,8h,18035708,827523,13894592,13092,0,PASS
32400,9h,18534008,850461,14278728,13092,0,PASS
33300,9h,19034196,873485,14664205,13092,0,PASS
34200,9h,19530389,896279,15046769,13092,0,PASS
35100,9h,20029446,919210,15431279,13092,0,PASS
36000,10h,20533604,942483,15820336,13092,0,PASS
36900,10h,21034044,965616,16207089,13092,0,PASS
37800,10h,21539823,988982,16597704,13092,0,PASS
38700,10h,22047933,1012453,16990035,13092,0,PASS
39600,11h,22551401,1035717,17378776,13092,0,PASS
40500,11h,23054367,1058921,17767119,13092,0,PASS
41400,11h,23556936,1082085,18155421,13092,0,PASS
42300,11h,24064796,1105403,18546682,13092,0,PASS
43201,12h,24569870,1128548,18935661,13092,0,PASS
44100,12h,25072150,1151514,19322071,13092,0,PASS
45000,12h,25578000,1174692,19711306,13092,0,PASS
45900,12h,26081251,1197729,20098301,13092,0,PASS
46800,13h,26587852,1220959,20488262,13092,0,PASS
47700,13h,27087035,1243808,20872377,13092,0,PASS
48600,13h,27591544,1266870,21260529,13092,0,PASS
49500,13h,28095240,1289905,21648022,13092,0,PASS
50400,14h,28600409,1313076,22036801,13092,0,PASS
51300,14h,29102176,1336133,22423048,13092,0,PASS
52200,14h,29613643,1359665,22816772,13092,0,PASS
53100,14h,30140705,1384155,23223094,13092,0,PASS
54000,15h,30668923,1408702,23630086,13092,0,PASS
54900,15h,31192663,1433047,24033735,13092,0,PASS
55800,15h,31719795,1457592,24440024,13092,0,PASS
56700,15h,32247698,1482155,24847301,13092,0,PASS
57600,16h,32772341,1506566,25251564,13092,0,PASS
58500,16h,33300880,1531112,25658734,13092,0,PASS
59400,16h,33829969,1555682,26066637,13092,0,PASS
60300,16h,34355439,1580118,26471675,13092,0,PASS
61200,17h,34881788,1604627,26877499,13092,0,PASS
62100,17h,35407025,1629063,27282565,13092,0,PASS
63000,17h,35936035,1653612,27690471,13092,0,PASS
63900,17h,36464508,1678154,28097867,13092,0,PASS
64800,18h,36989213,1702583,28502522,13092,0,PASS
65700,18h,37517239,1727160,28909584,13092,0,PASS
66600,18h,38045652,1751670,29316967,13092,0,PASS
67500,18h,38573430,1776188,29723648,13092,0,PASS
68400,19h,39101781,1800762,30130897,13092,0,PASS
69300,19h,39626424,1825150,30535442,13092,0,PASS
70200,19h,40153979,1849687,30942059,13092,0,PASS
71100,19h,40673908,1873871,31342368,13092,0,PASS
72000,20h,41173954,1896843,31727258,13092,0,PASS
72900,20h,41670313,1919712,32110030,13092,0,PASS
73800,20h,42166391,1942592,32492869,13092,0,PASS
74700,20h,42669464,1965887,32880923,13092,0,PASS
75600,21h,43175349,1989383,33271023,13092,0,PASS
76500,21h,43691808,2013422,33670067,13092,0,PASS
77400,21h,44210203,2037552,34070254,13092,0,PASS
78300,21h,44733405,2061796,34473730,13092,0,PASS
79200,22h,45253800,2086003,34875169,13092,0,PASS
80100,22h,45774316,2110239,35276350,13092,0,PASS
81000,22h,46290238,2134287,35674718,13092,0,PASS
81900,22h,46808456,2158372,36074606,13092,0,PASS
82800,23h,47321469,2182413,36471099,13092,0,PASS
83700,23h,47830299,2206204,36864473,13092,0,PASS
84600,23h,48339424,2230018,37258299,13092,0,PASS
85500,23h,48857263,2254103,37657912,13092,0,PASS
94408,26h13m-manual,53919340,2491317,41567509,13092,0,PASS
