elapsed_s,milestone,iters_nvidia-compute,iters_nvidia-render,iters_nvidia-texture,rss_kb,dmesg_drm_delta,status
1,1s,28,26,25,7448,0,PASS
2,2s,67,68,62,7448,0,PASS
4,4s,147,147,137,7448,0,PASS
8,8s,304,304,279,7448,0,PASS
16,16s,608,601,560,7448,0,PASS
32,32s,1203,1188,1096,7448,0,PASS
60,1m,2199,2187,2027,13412,0,PASS
120,2m,4350,4349,3997,13412,0,PASS
240,4m,8576,8597,7897,13412,0,PASS
480,8m,17050,17129,15688,13412,0,PASS
960,16m,33701,33856,31037,13412,0,PASS
1921,32m,67072,67304,61845,13412,0,PASS
3600,1h,125456,125991,115782,13412,0,PASS
