elapsed_s,milestone,iters_compute,iters_wgpu,iters_render,rss_kb,dmesg_amdgpu_delta,status
1,1s,604,28,463,13092,0,PASS
2,2s,1219,57,933,13092,0,PASS
4,4s,2410,113,1844,13092,0,PASS
8,8s,4751,223,3648,13092,0,PASS
16,16s,9457,440,7255,13092,0,PASS
32,32s,18808,877,14427,13092,0,PASS
60,1m,35106,1640,26933,13092,0,PASS
120,2m,70212,3267,53821,13092,0,PASS
240,4m,141203,6554,108477,13092,0,PASS
